step,fid,skip_factor,dataset,teacher_timesteps,student_timesteps,num_iters,scheduling_strategy
1,205.3868408203125,4,cifar10,32,8,1000,lf
4,206.41632080078125,4,cifar10,32,8,1000,lf
8,198.883544921875,4,cifar10,32,8,1000,lf
4,325.4181213378906,2,mnist,512,256,1000,ef
32,323.5307312011719,2,mnist,512,256,1000,ef
128,312.46466064453125,2,mnist,512,256,1000,ef
256,169.14450073242188,2,mnist,512,256,1000,ef
1,210.02883911132812,256,cifar10,1024,4,1000,default
2,217.5137481689453,256,cifar10,1024,4,1000,default
4,227.5244903564453,256,cifar10,1024,4,1000,default
1,214.58099365234375,2,cifar10,4,2,32,default
2,229.35581970214844,2,cifar10,4,2,32,default
2,203.20265197753906,8,cifar10,128,16,1000,default
4,201.7233123779297,8,cifar10,128,16,1000,default
8,193.7835693359375,8,cifar10,128,16,1000,default
16,128.92698669433594,8,cifar10,128,16,1000,default
4,208.724609375,2,cifar10,256,128,1000,default
32,203.8314208984375,2,cifar10,256,128,1000,default
64,182.3903045654297,2,cifar10,256,128,1000,default
128,239.14480590820312,2,cifar10,256,128,1000,default
4,208.72219848632812,2,cifar10,64,32,1000,default
8,205.35098266601562,2,cifar10,64,32,1000,default
16,184.9500732421875,2,cifar10,64,32,1000,default
32,253.96322631835938,2,cifar10,64,32,1000,default
4,321.950439453125,2,mnist,64,32,1000,default
8,315.0136413574219,2,mnist,64,32,1000,default
16,312.4498291015625,2,mnist,64,32,1000,default
32,286.87994384765625,2,mnist,64,32,1000,default
4,205.88575744628906,16,cifar10,1024,64,1000,default
16,203.70895385742188,16,cifar10,1024,64,1000,default
32,184.56954956054688,16,cifar10,1024,64,1000,default
64,102.96992492675781,16,cifar10,1024,64,1000,default
1,320.9071350097656,2,mnist,16,8,1000,default
2,317.25042724609375,2,mnist,16,8,1000,default
